Symptom,Frequency
digestive system problems,2
diarrhoea ( non-serious ) onset mar2021,2
pain calves,2
much pain calves legs,2
swelling calves legs,2
pityriasis rubra pilaris rash,2
ischemic colitis,2
pain extremity ( non-serious ) onset feb2021,2
soreness aching leg hip,2
low temperature,2
congenital heart disease,2
whole arm sore,2
mild reaction,2
intermittent knee issue,2
polymyalgia,2
outcome event,2
low immune system,2
plaquenil arthritis,2
shot pain injection site,2
watery diarrhea,2
chronic kidney disease stage,2
vaccination site paraesthesia,2
vision blurry/eyesight,2
cancer lymph nodes,2
loss personal independence,2
nasal discharge discolouration,2
abnormal ( non-serious ) onset mar2021,2
dizziness ( non-serious ) onset mar2021,2
extreme thirst,2
thirst,2
expected side effect,2
s symptoms,2
aching stiff,2
calcified rib left side,2
aching injection site,2
bowel movement irregularity ( non-serious ),2
gas bloating,2
nerve problems,2
tiredness fatigue,2
right foot previously diagnosed dropped foot,2
intense pulsing pain right foot,2
nausea ( non-serious ) onset mar2021,2
patient fatigue,2
back muscle pain,2
asthenia ( non-serious ) onset mar2021,2
cerebral palsy,2
patient difficulty walking,2
terrible tiredness,2
little bit arm soreness,2
cold hot,2
uncomfortableness,2
really bad side effects,2
atypical ductal hyperplasia right breast,2
difficulty swallowing radiating tingling along bilateral shoulder blades,2
decreased hearing ringing right ear,2
decreased hearing ringing,2
sweated,2
muscle pain upper arm,2
really hot,2
dry heave,2
blood clot/ pain right leg,2
pain right leg,2
head pain left side,2
upper back leg pain legs,2
body aching,2
total fatigue,2
time sore throat,2
trembling leg,2
weak dizzy,2
headache/,2
kind dizziness,2
entire arm aching,2
leg shoulder ache,2
arthralgia ( non-serious ) onset,2
pain right breast,2
real sharp pain left breast,2
swollen sore lymph node right neck,2
minor fatigue,2
little bit nauseous,2
several reddish,2
bruised-like blotches,2
lot stomach distress,2
bone disorder,2
nothing debilitating,2
slight soreness injection site,2
throbbing head ache,2
pain radiating left arm,2
immunosuppressed,2
calf cramping,2
strong vomiting,2
rash left right side upper chest,2
chest abdomen,2
swollen lymph nodes left arm,2
immediate cognitive impairment,2
sleepiness weakness,2
serious headaches,2
previous condition stroke,2
bad tummy ache,2
"faint , numbness legs",2
increased sob,2
lump left arm,2
hands turned blue,2
blue,2
"hives located legs , stomach , hips , ribs , back , chest , neck , arms , hands/fingers",2
sore face,2
blood clot menstrual cycle,2
chronic migraines,2
extreme skin skin,2
significant swelling right arm pit,2
serve cramping,2
irregular periods clotting,2
late menstrual cycle,2
pregnancy extreme bloating,2
heart throbbing,2
lymph swelling breast arm,2
positive covid-19 symptoms,2
hepatic failure,2
headaches vomiting,2
liver failure,2
mild symptoms cough,2
lost taste smell,2
patient hospitalized thrombosis,2
nephrolithiasis,2
left leg swollen,2
extreme ringing ears head,2
periodic headaches,2
extreme neck pain,2
arm arm pit along breast sore,2
lump arm pit breast,2
frequent headaches/ severe headaches,2
rash pruritus,2
lost taste fever,2
vitreous floaters,2
"left leg calf , ankle , pain",2
recurring hives torso limbs,2
axillary pain swelling,2
extreme pain arm,2
breast ca,2
photosensitivity,2
redness swelling injection site,2
atypical chest pain,2
pain chest,2
bilateral pulmonary embolism,2
body shakes,2
worse cough,2
vitiligo,2
dull ache,2
exacerbation,2
l hip pain,2
burning itching,2
slightly elevated temperature,2
atypical pneumonia,2
pulmonary embolus,2
irritated,2
weak fatigued,2
chronic headaches,2
constant chest pain,2
bipolar,2
extreme dehydration,2
phlegm,2
menstrual migraine,2
hyperventilating,2
blood coming right eye tear duct,2
visible rash hives,2
tingling arm fingers,2
join pain,2
rigid,2
severely immunocompromised,2
racing heart,2
right upper back pain,2
pandemic,2
sore swollen,2
pain neck,2
numbness arm,2
swollen armpits,2
significant abnormalities,2
insulin-dependent diabetes,2
renal primary deficiency,2
anemia hypertension,2
dyspnea hypoxia,2
effusion,2
positive edema,2
abdominal distention,2
loose stool,2
nasal congestion cough,2
profound weakness,2
sore throat nasal congestion,2
bilateral perihilar opacifications focal opacification left base,2
infection edema,2
dni,2
rash lower legs,2
rash arms,2
blood loss,2
adverse drug event,2
fussy,2
swollen armpit,2
change bowel habits,2
ongoing diarrhea,2
itp,2
sever pain,2
right arm injection site,2
colds,2
incoherent speech,2
better symptoms,2
ards,2
difficulties speaking,2
significant speech deficit,2
hypercholesterolemia,2
covid 19 infection,2
right upper right lower extremity weakness,2
acute pathology,2
right side weak,2
extreme pressure head,2
patient fine symptoms,2
progressively weaker,2
low grade,2
itchy spots whole body,2
prior symptoms,2
decreased fetal movement,2
huge pain,2
disrupted sleep,2
dull left-chest pain,2
lingering chest pressure,2
notable intense chest pains,2
light symptoms,2
burning legs,2
little swollen 's,2
swollen lymph nodes neck arm,2
rash right side head,2
antiphospholipid syndrome,2
elevated fever,2
body pay elevated fever,2
severe ( excruciating ),2
fine symptoms,2
tingling left side face,2
aching right shoulder/aching right shoulder,2
sporadic joint /muscle pain,2
cross severe arthritis pain,2
catching severe charley horse,2
ankle hurting/severe ankle pain,2
severe right sided joint muscle pai,2
sporadic joint,2
joint dislocation,2
tight burn ankles knees,2
bruising feet went legs wrists arms,2
"swelling feet legs , arms hands",2
eyes red,2
muscle ache needle,2
extremely lightheaded,2
ankle swelling,2
myoclonus,2
precipitous pressure drop,2
fresh red blood,2
serious adverse reaction,2
fractured molar,2
fatigue extreme,2
sinus infection ear infection,2
severe whole body rash,2
left armpit pain,2
claritin allergic,2
heavy stiff,2
fatigue mild headache,2
scratchy throat mild congestion,2
severe frequent malodorous flatulence,2
breakthrough cases covid/ covid symptoms,2
myocardial infarction ( death,2
meniere 's syndrome inner ear,2
like heated sensation,2
warm sensation back throat,2
redness vaccine site,2
hand shaking badly,2
parkinson,2
trembling bad,2
aching way bones,2
low thyroid ``,2
watery blister filled yellow fluid,2
arms lot sore,2
leukemia hospital afib,2
heat blisters,2
hot blisters arm,2
warm compresses arm sore,2
type 2 diabetes mellitus ``,2
fatty liver,2
muscular pain,2
oral pruritus,2
swollen ly nodes left arm,2
head really aches,2
injection headache,2
list symptoms,2
laying blankets shaking,2
mild ones,2
constant ache,2
left bruise,2
swelled left bruise,2
deep venous thrombosis right lower extremity,2
upper respiratory tract infection,2
sudden bell 's palsy,2
aortic valve disease,2
pharyngeal mass,2
debilitating headache,2
altered state consciousness,2
hives/urticaria,2
medication nausea,2
severe chest pains,2
uti symptoms,2
multiple myeloma,2
back neck,2
focal deficits,2
class 2 obesity,2
increased oxygen requirements hemoptysis,2
proximal atrial fibrillation,2
chronic back pain,2
prediabetes,2
positive congestion,2
rhinorrhea sore throat,2
dysuria hematuria,2
wheezing rhonchi,2
erythema rash,2
extreme brain fog,2
first symptom,2
pain shoulders,2
sinus pressure sore throat,2
physical symptoms,2
persistent atrial fibrillation,2
skin dry,2
trouble sleeping,2
acute myocarditis,2
abscess buttocks,2
worsening chest pain,2
positive congestion rhinorrhea,2
hashimoto 's thyroiditis,2
first symptoms,2
sore throat left side,2
irregular menses,2
chronic left pleural effusion,2
crohn disease,2
history prediabetes,2
loss balance,2
pain liver,2
pain right side abdomen/pain right side belly,2
hepatomegaly,2
medication error,2
muscle ache/ headache/,2
constant migraine,2
throat itch,2
red bumps puss crusts,2
stripes red warm,2
skin warm,2
hands soles feet itching,2
massive nose bleed,2
mucus nose,2
"mold pungent , perfumes bit musky",2
pain killing,2
mild gastritis,2
-blisters pain,2
rash ( non-serious ) onset,2
lymphnodes swollen,2
ears itchy,2
swollen gum,2
swollen gums,2
just soreness site,2
joint range motion,2
black blue bruises hand,2
customary arm pain,2
right upper eyelid,2
crohn's/colitis ``,2
history high blood pressure,2
small rash crease left arm ``,2
soreness side,2
rash going arm across chest,2
"swelling right side-face , arm , hand , leg",2
forearms itchy,2
pituitary adenoma,2
skin disorder,2
arthralgia ( non-serious ) onset mar2021,2
terrific headache,2
alleviate pain,2
area red,2
mouth ulcers,2
sharp chest pain,2
worst diarrhea,2
lung sarcoidosis,2
rash breakout face neck,2
lot cramping pain,2
staphylococcus aureus,2
staphylococcal infection,2
severe,2
weight loss supplement,2
pain left side/ pain upper left leg,2
heat rash,2
severe allergic reaction/,2
rash near buttocks,2
inflammation skin absurd,2
skin red,2
impressive rash,2
skin irritation,2
swelling pain right armpit,2
ill-defined disorder,2
little bit body ache,2
little bit scratchy throat,2
numbness neck,2
face swelling numbness,2
side face left side arm vaccine,2
racing heart rate,2
anorexic,2
chronic vitamin iodine deficiency ``,2
minor emergency acute abdominal pain,2
`` cancer,2
panic reaction,2
"head , neck , face , arms , hands , neck , shoulder , back",2
steroid neck,2
pain ( non-serious ) onset oct2021,2
tourette syndrome,2
trunk rash,2
thyroditis,2
thyroid went hyper,2
hyperthyroid,2
thyroiditis,2
pain bones,2
smell,2
upper respiratory problem,2
extreme pain throat,2
mild diarrhea,2
pinkish red warm touch injection site,2
irritable bowel,2
waves dizziness,2
fiery pounding headache,2
really bad body aches,2
neuropathy feet,2
slight burn,2
exacerbation pemphigus,2
mucous membrane pemphigus,2
"swelling arm , injection site",2
bad panic attack,2
copd ``,2
immediate hot flashes,2
vaccination site movement impairment,2
pain 2 fingers,2
arms swelled fingers,2
patient immediate reaction,2
lack balance wobbliness,2
heavy metal toxicity,2
hand swollen,2
thalassemia anemia,2
soreness inject site,2
acute tenderness injection site,2
sore arm/side effects,2
routine back pain,2
tinnitis ringing buzzing ears,2
"muscular problems arm , back upper leg",2
area skin numb touch,2
one thumb larger area,2
skin lesion,2
ache/swelling injection site,2
pain skull,2
sporadic random bursts pain head,2
tenderness right side head painful,2
pain extremity ( non-serious ) onset jan2021,2
sever chills,2
mild upper arm tenderness injection site,2
back aches,2
loose biles,2
mild sweats,2
stomach intermittent nausea,2
difficulty lifting arm-moderate pain,2
moderate pain,2
2nd shot-28mar chills,2
mildly sore arm,2
life threatening illness,2
tired body aches,2
chronic upper back pain,2
common cold lost sense taste,2
swelling lymph node armpit/ collar bone,2
similar spot,2
post concussion syndrome,2
overall body soreness,2
random chills,2
red & raised bump injection site,2
temperature regulation disorder,2
armpit swelling,2
left ankle swelled,2
glands swollen left arm,2
continuous fever,2
spicy tingling sensation tip tongue taste,2
pyrexia cough,2
paresthesia left arm tingling feeling fingertips hand,2
body aches chills,2
swollen lymph node armpit,2
swollen lymph node armpit painful,2
diarrhea blood stool,2
sunburn,2
t-wave inversions v1 v5,2
inversions v3 v5,2
worsening st depression lateral leads,2
mouth sores,2
negative rash wound,2
toxic-appearing diaphoretic,2
visible rash,2
numbness limbs,2
painful swelling armpit,2
mild aortic root dilation,2
mild bilateral atrial dilation,2
aki hypokalemia,2
permanent atrial fibrillation,2
intolerance,2
essential htn,2
unspecified acute renal failure type ( hcc ),2
pna acute hypoxic respiratory failure,2
hematochezia,2
melena,2
tracheal deviation,2
friction rub,2
gallop,2
appetite change,2
anxiety hallucinations,2
mild dyspnea,2
patient syncopal episode,2
heart pounding,2
pt 's condition,2
coronavirus,2
hypoxemia,2
tickle throat,2
intraparenchymal hemorrhage,2
residual right-sided weakness,2
deficiency anemia,2
chronic gerd,2
status epilepticus,2
generalized tonic clonic movements,2
burning painful urination,2
subjective fevers,2
new onset fevers,2
exacerbating alleviating factors,2
atrial fibrillation rapid ventricular response,2
redness scratch marks,2
follicular lymphoma,2
significant esrd hd,2
muscle aches fatigue,2
painful itchy,2
prp,2
syncopal event,2
allergy skin reaction,2
nosebleed,2
acute worsening,2
numbness weakness extremities,2
pain fatigue,2
lipoma,2
changes discomfort,2
fatigue ( fatigue big time ),2
arthralgia ( joint pain,2
