Disease_ncbi,Frequency_ncbi
acute chronic hyponatremia,1
earache right ear,1
eyelid rash,1
squamous cell lung cancer,3
acute chronic microcytic anemia,3
swollen joints,1
vomiting coffee ground emesis,1
ag metabolic acidosis,1
ketoacidosis,2
gastroenteritis.,1
covid+ metabolic acidosis,1
reflux,1
bilateral pulmonary embolisms,2
shortness breath heart palpitations,1
cellulitis redness,1
"underarm left breast , shortness breath heart palpitations",1
drenching sweats fevers,1
systemic bacterial infection,1
subdural hygroma,1
invasive ductal carcinoma,2
doe syncope,1
obstructive cad,1
copd exaccerbation,1
"tingling numbness left side body ( including face , head , neck , shoulder , arm , hand",1
swelling eye lids,1
pain behind left eye accompanied pain,1
blurriness ) right eye,1
childhood asthma,3
cxr-bilat infiltrates,2
ed c/o dizziness,2
blurriness,1
flu/covid,1
dandruff facial bumps,1
umbilical abdominal pain,1
rash/ irritation,1
abduct arm shoulder,1
chronical urticaria,1
viral myositis,1
cough rash,1
complaint fatigue,1
emergency department fatigue,1
hypomagnesaemia,1
facial contusion,1
non-insulin dependent diabetes mellitus type 2/hypertension,1
left upper extremity injury,1
upset stomach headache,1
lesions upper palate,1
acute chest wall pain,1
acute coronary syndrome,1
pink-tan macules,1
flat macules,1
tietze 's syndrome,1
pityriasis extremity joint involvement nasal bridge swelling,1
relapsing polychondritis vestibular/acoustic/otic ophthalmic involvement,1
1/11,1
1/10-1/13/22 chest pain,2
left ear congestion,1
anaplastic oligodendroglioma,2
cerebral edema,5
muscle twitches,2
sudden weakness,2
pmh polymyositis,2
restrictive lung disease,2
chronic 2l nc o2,2
p/w worsening cough,2
n/v,2
abdomen pain,2
chronic peripheral edema,2
chronic vascular leg wounds,2
injury pain,2
h/o stroke,3
aaa,3
pudendal nerve pain problems,1
neurological problems,1
pudendial neuralgia,1
gastrointestinal discomfort,1
1/5/2022 dyspnea,1
acute delirum,1
wheezing cpap,1
pfo tbi paradoxical embolism,1
left cerebellar infarct,1
laryngeal cancer,1
pna acute hypoxic respiratory failure,1
anterolateral wall motion abnormality,1
stomach pain vomiting,1
scratchy itchy,1
a-fib,3
h/o kidney transplant,3
runny nose itchy eyes,1
blur vision,1
menorrhagia,1
skin infection,1
hives/ allergic reaction,1
pain armpit,1
c/o intermittent sore throat,2
sore throat ear pain,2
left eye,4
reactive lymphadenopathy,1
right knee pain swelling joint stiffness,1
nasal discharge,2
skin hypersensitivity,1
full-body rash,1
h/o anaphylaxis,1
tongue/lip/oral cavity swelling,1
sign injury,1
chest discomfort numbness right extremity,1
muscle/body aches tinnitus,2
abdominal pain bloating,2
fatigue loss smell,1
congestive headache,1
chronic dizziness,1
panic,1
pppd,1
hypertriglyceridemia chronic epigastric abdominal pain,2
traumatic brain injury,2
hypertriglyceridemia,2
dvt eliquis bipolar disorder,2
brownish emesis diarrhea,2
lymphadenitis,1
lymphocytosis,1
arrhythmia tachycardia,1
petechiae lower extremities,1
granuloma annulare,1
10:45am tongue swelling,1
pitting edema,1
w/o disease infection,1
dyspnea/chest pain,2
hx hypothyroidism,2
rhonchi rales,2
itching swelling,1
circumoral swelling,1
c/o tongue swelling,1
itching respiratory distress,1
swelling throat face,1
crushing chest pain,1
pain jaw teeth,1
pains constipation,1
lump collarbone,1
pain armpits,1
11am - fever,1
itching pain,1
bumpy rash hematoma,1
placenta previa,1
mom sneezing headaches,1
reoccurrence arthralgia,1
inflammation joint stiffness,1
lip tongue twitching,1
numbness left side extremities,1
necrotizing fascitis foot removed leg knee,1
peripheral muscular spasms,1
bacterial vaginosis,1
shingles arthritis,1
rectal bleeding arthritis pain,1
`` arthritis pain ``,1
upset stomach,1
pleurisy,2
`` numbness legs,1
`` vertigo vertigo,1
charlie horse cramps calve muscles,1
charlie horse cramps calve muscles ``,1
mental health disorders,1
right shoulder blade ``,1
heart murmur ``,1
ambien taken sleep disorder,1
`` leukaemia,1
`` parkinson disease ``,1
`` hand fingers,1
hypersensitivity prilosec benadryl,1
cataracts eyes,1
cataracts,8
apnoea,2
`` cataracts `` `` foggy vision ``,1
`` type 1 diabetes ``,1
celiac ``,1
sore throat ``,1
"celiac , hashimoto 's underlying conditions",1
hepatic impairment,5
liver enzyme elevation,1
food intolerance,4
`` blood clotting disorder,1
`` hepatic impairment ``,2
malnutrition,2
`` food intolerance ``,1
malnourished ``,1
liver enzyme elevation ) nausea,1
death loss consciousness,1
cerebral venous sinus thrombosis,6
cerebral haemorrhage,2
angiogram cerebral abnormal,2
`` dyslipidemia ``,1
hand weakness,1
right frontal hemorrhage,1
cm right frontal parenchymal hemorrhage,1
superiorly 9mm right frontal parenchymal hemorrhage,1
left frontal parenchymal hemorrhage,1
dyasthria,1
cavernous sinus thrombosis,1
muscular weakness headache,2
endotracheal intubation,1
cerebral haemorrahge,1
104.5 fever,1
`` stress fracture ``,1
`` wheezing ``,1
daughter walking ball foot,1
walking ball left foot,1
right foot boot due stress fracture,1
daughter pneumonia,1
congestion stuffy nose,2
sixth nerve palsy right eye,1
horizontal double vision,2
vith nerve paralysis,2
`` sixth nerve palsy right eye ``,1
diplopia ``,2
`` sixth nerve palsy,1
diplopia sixth nerve palsy right eye,1
`` pseudo seizures ``,1
muscle discomfort,2
moaning,1
pseudo-seizures,1
dystrophy ``,1
map dystrophy,2
`` inflammation,1
`` elbow hurt ``,1
multitask headaches,1
latex `` fruit allergy ``,1
soar joints,1
swollen stomach ; pain stomach,1
`` swollen stomach ``,2
`` pain stomach ``,1
`` soar joints ``,1
`` pain stomach `` `` fatigue ``,1
abdominal pain upper fatigue,1
"swollen stomach , pain stomach",1
swelling pain left armpit,1
swelling axillary pain,1
anosmia muscle twitching,1
headache head discomfort,2
'congenital anomaly,5
sarcadosis,1
right arm fatigue & numbness,1
right leg fatigue & numbness,1
acute toxic metabolic encephalopathy,1
chronic urinary retention,1
extremty edema,1
102.5 fever,1
effusion,1
flair allergy symptoms,1
`` heartburn-like `` sensation chest shoulder pain back right shoulder blade,1
chest shoulder discomfort,1
numbness fingers hands,1
cystic hygroma going fetal hydrops,1
fetal cystic hygroma body wall edema,1
friday - fever,1
saturday fever,1
sluggishness aches painful swelling lymph node left arm - radiating left breast chest,1
monday pain,1
sweaty,1
pvd,2
multi foot ulcers,2
foot ulcers,2
left eye twitching,1
/use left foot,1
hypertensive crisis chest pain,1
"muscle , back joint pain",1
heart flutter,2
itching general discomfort rash pain,1
facial pruritis,1
headache 12-22,1
tongue - discomfort,1
pullm opacities,4
covid & joints & nodules swollen,3
sepsis acute organ dysfunction,2
covid -meeting sepsis,2
ed cc generalied body aches weakness,2
malaria infection,2
pna/sinus tachycardia,2
blacking,1
temporary vision/hearing loss,1
"pain back neck , cough",2
spotty vision,1
inflammation around joint joints,1
fatigue diarrhea,1
hcp,1
ich 2/2 sagittal sinus thrombosis,1
intubation airway protection,1
decadron 12/8 headaches,1
swelling redness,1
breast along swelling redness,1
blurriness eyes,1
head heaviness,1
burning irritating pain left side trunk,1
mouth ulcers mouth tongue painful,1
numbness elbow fingertips,1
"weakness wrist hand , finger tremors loss sensation",1
forearm bruise/shooting pain,1
inhaler asthma,1
dizziness walking migraine headache muscle pain,1
painful ulcers vaginal opening right & left labia,1
"ringing ears , blurred vision",1
gaxe palsy,2
fatigue arm soreness,1
temporary loss hearing,1
10:30p vomiting,1
harsh cough,2
non-productive cough,2
a-febrile,1
vision distortion,2
swallowing difficulty,2
gastro-intestinal disturbances,2
abdominal aches/cramping,2
general joint pains,2
diapheresis,1
excessive mucus production,1
periodic vomiting,1
inflamed sore throat,1
"neck , back , arm eyes",3
icu neutropenic fever,1
bleed - w/ hematuria,1
aplastic anemia bone marrow failure,1
left side similar symptoms - headaches,1
vomiting dehydration,2
left side supraclavicular lymphadenopathy,1
ibuprofen pain inflammation,1
redness/swelling/itching,1
lower right quadrant pain,2
dizziness nauseous,2
